epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3897.03,1.22698,0.90395,1.39863,0.88327,0.83459,0.87607,0.65281,0.87608,0.81853,1.18182,0.00899942,0.00899942,0.00899942
43,3996.97,1.2153,0.89736,1.39617,0.85076,0.86826,0.87909,0.68003,0.83241,0.74261,1.12652,0.00895182,0.00895182,0.00895182
44,4091.82,1.18101,0.86045,1.37644,0.9707,0.88094,0.93837,0.74921,0.7667,0.6042,1.10754,0.00890325,0.00890325,0.00890325
45,4162.61,1.19152,0.87223,1.36996,0.92848,0.76441,0.85523,0.63645,1.03258,1.05412,1.24226,0.00885371,0.00885371,0.00885371
46,4249.41,1.20148,0.88295,1.38924,0.9003,0.87275,0.93743,0.72861,0.77455,0.60528,1.08551,0.00880323,0.00880323,0.00880323
47,4328.98,1.18315,0.86806,1.37543,0.93447,0.8961,0.92847,0.74779,0.71837,0.48521,1.05348,0.0087518,0.0087518,0.0087518
48,4426.67,1.17734,0.85682,1.3678,0.96609,0.93718,0.9483,0.7449,0.78563,0.61374,1.06221,0.00869946,0.00869946,0.00869946
49,4521.16,1.19706,0.85608,1.38396,0.96231,0.83971,0.93058,0.7497,0.75302,0.53726,1.05579,0.0086462,0.0086462,0.0086462
50,4600.69,1.1877,0.86547,1.37498,0.96232,0.91325,0.95702,0.76146,0.79358,0.48001,1.07381,0.00859204,0.00859204,0.00859204
51,4700.48,1.18153,0.83619,1.36709,0.88404,0.82699,0.91087,0.68341,0.89123,0.60475,1.18785,0.008537,0.008537,0.008537
52,4792.14,1.17148,0.84737,1.35224,0.79374,0.61083,0.68418,0.47167,1.15252,1.30631,1.32538,0.00848108,0.00848108,0.00848108
53,4881.04,1.19349,0.86023,1.37297,0.94182,0.92885,0.92523,0.74249,0.78812,0.49969,1.07114,0.00842431,0.00842431,0.00842431
54,4977.44,1.17998,0.85666,1.36869,0.92504,0.93623,0.95241,0.75976,0.70042,0.53251,1.0602,0.0083667,0.0083667,0.0083667
55,5080.29,1.16157,0.82885,1.34374,0.9556,0.87179,0.93241,0.73156,0.71422,0.4912,1.06604,0.00830825,0.00830825,0.00830825
56,5181.35,1.16103,0.8254,1.35772,0.98382,0.92186,0.94375,0.76743,0.77273,0.57915,1.08833,0.00824899,0.00824899,0.00824899
57,5281.27,1.1449,0.82032,1.35091,0.93802,0.9188,0.94637,0.76465,0.71362,0.4933,1.05087,0.00818893,0.00818893,0.00818893
58,5375.08,1.17637,0.82539,1.35954,0.75759,0.78781,0.78631,0.55873,0.98261,0.92154,1.21713,0.00812809,0.00812809,0.00812809
59,5478.21,1.15702,0.81746,1.36356,0.94093,0.92813,0.94524,0.76556,0.69226,0.5577,1.04882,0.00806647,0.00806647,0.00806647
60,5558.17,1.14432,0.81383,1.34417,0.94946,0.94458,0.96067,0.75981,0.72477,0.50222,1.04494,0.0080041,0.0080041,0.0080041
61,5655.11,1.13816,0.81925,1.34703,0.88098,0.89318,0.91208,0.71185,0.79545,0.61404,1.10447,0.00794099,0.00794099,0.00794099
62,5743.67,1.14196,0.80421,1.3423,0.95942,0.94466,0.95172,0.76465,0.74698,0.46537,1.03427,0.00787715,0.00787715,0.00787715
63,5837.16,1.16155,0.82042,1.35877,0.94888,0.91969,0.95665,0.80313,0.62267,0.49388,1.01198,0.00781261,0.00781261,0.00781261
